"(I Can't Get No) Satisfaction","The Rolling Stones","Bass","E standard","RS",1965,3:53
"(I Can't Get No) Satisfaction","The Rolling Stones","Lead","E standard","RS",1965,3:53
"(I Can't Get No) Satisfaction","The Rolling Stones","Rhythm","E standard","RS",1965,3:53
"A More Perfect Union","Titus Andronicus","Lead","E standard","RS",2010,6:28
"A More Perfect Union","Titus Andronicus","Bass","E standard","RS",2010,6:28
"A More Perfect Union","Titus Andronicus","Rhythm","E standard","RS",2010,6:28
"All I Wanna Do","Splash","Lead","E standard","RS14",2012,3:40
"All I Wanna Do","Splash","Bass","E standard","RS14",2012,3:40
"All I Wanna Do","Splash","Rhythm","E standard","RS14",2012,3:40
"Angela","Jarvis Cocker","Bass","E standard","RS",2009,3:09
"Angela","Jarvis Cocker","Lead","E standard","RS",2009,3:09
"Angela","Jarvis Cocker","Rhythm","E standard","RS",2009,3:09
"Are You Gonna Go My Way","Lenny Kravitz","Lead","E standard","RS",1993,3:42
"Are You Gonna Go My Way","Lenny Kravitz","Bass","E standard","RS",1993,3:42
"Are You Gonna Go My Way","Lenny Kravitz","Rhythm","E standard","RS",1993,3:42
"Bat Country","Avenged Sevenfold","Lead","Drop D","RS14",2005,5:23
"Bat Country","Avenged Sevenfold","Rhythm","Drop D","RS14",2005,5:23
"Bat Country","Avenged Sevenfold","Bass","Drop D","RS14",2005,5:23
"Between the Lines","Stone Temple Pilots","Bass","Drop D","RS",2010,3:01
"Between the Lines","Stone Temple Pilots","Lead","Drop D","RS",2010,3:01
"Between the Lines","Stone Temple Pilots","Rhythm","Drop D","RS",2010,3:01
"Black Magic","Magic Wands","Lead","E standard","RS14",2009,2:43
"Black Magic","Magic Wands","Bass","E standard","RS14",2009,2:43
"Black Magic","Magic Wands","Rhythm","E standard","RS14",2009,2:43
"Blitzkrieg Bop","Ramones","Lead","E standard","RS14",1976,2:34
"Blitzkrieg Bop","Queen","Bass","E standard","RS14",1976,2:34
"Blitzkrieg Bop","Ramones","Rhythm","E standard","RS14",1976,2:34
"Blood and Thunder","Mastodon","Lead","D standard","RS14",2004,3:59
"Blood and Thunder","Mastodon","Rhythm","D standard","RS14",2004,3:59
"Blood and Thunder","Mastodon","Bass","D standard","RS14",2004,3:59
"Boss","Chris Lee","Lead","E standard","RS",2011,3:17
"Boss","Chris Lee","Bass","Drop D","RS",,3:14
"Boss","Chris Lee","Rhythm","E standard","RS",2011,3:17
"Boys Don't Cry","The Cure","Bass","E standard","RS",1979,2:45
"Boys Don't Cry","The Cure","Lead","E standard","RS",1979,2:45
"Boys Don't Cry","The Cure","Rhythm","E standard","RS",1979,2:45
"Brand New Kind of Blue","Gold Motel","Rhythm","E standard","RS14",2012,3:15
"Brand New Kind of Blue","Gold Motel","Lead","E standard","RS14",2012,3:15
"Brand New Kind of Blue","Gold Motel","Bass","E standard","RS14",2012,3:15
"Breed","Nirvana","Lead","E standard","RS",1991,3:13
"Breed","Nirvana","Bass","E standard","RS",1991,3:13
"Breed","Nirvana","Rhythm","E standard","RS",1991,3:13
"Burnished","White Denim","Bass","E standard","RS",2011,2:48
"Burnished","White Denim","Lead","E standard","RS",2011,2:48
"Burnished","White Denim","Rhythm","E standard","RS",2011,2:48
"California Brain","RapScallions","Lead","E standard","RS",2011,4:35
"California Brain","RapScallions","Bass","E standard","RS",2011,4:35
"California Brain","RapScallions","Rhythm","E standard","RS",2011,4:35
"Cemetary Gates","Pantera","Lead","E std A434","RS14",1990,7:00
"Cemetary Gates","Pantera","Rhythm","E std A434","RS14",1990,7:00
"Cemetary Gates","Pantera","Bass","E std A434","RS14",1990,7:00
"Chimney","The Yellow Moon Band","Lead","E standard","RS",2009,3:44
"Chimney","The Yellow Moon Band","Bass","E standard","RS",2009,3:44
"Chimney","The Yellow Moon Band","Rhythm","E standard","RS",2009,3:44
"Chompers","Fang Island","Lead","Drop D","RS14",2012,2:57
"Chompers","Fang Island","Rhythm","Drop D","RS14",2012,2:57
"Chompers","Fang Island","Bass","Drop D","RS14",2012,2:57
"Cold Company","Minus The Bear","Lead","E standard","RS14",2012,5:10
"Cold Company","Minus The Bear","Bass","E standard","RS14",2012,5:10
"Cold Company","Minus The Bear","Rhythm","E standard","RS14",2012,5:10
"Desolate Motion","Karawan","Lead","E standard","RS14",2013,5:23
"Desolate Motion","Karawan","Rhythm","E standard","RS14",2013,5:23
"Do You Remember","The Horrors","Lead","E standard","RS",2009,3:40
"Do You Remember","The Horrors","Bass","E standard","RS",2009,3:40
"Do You Remember","The Horrors","Rhythm","E standard","RS",2009,3:40
